Name,Dealer,Mileage,Rating,Rating Count,Price,Stock Type
2020 Ford Edge Titanium,Sam Pack's Five Star Ford Carrollton,10210 ,4.8,"2,344 ",39500,Ford Certified
2020 Honda Civic LX,AutoSavvy Fort Worth,14000 ,2.6,5 ,20000,Used
2018 Hyundai Kona SEL,Greenville Hyundai,60657 ,4.4,255 ,22016,Used
2020 Toyota Camry LE,Koons Tysons Toyota,43296 ,4.4,"1,336 ",25000,Toyota Certified
2021 Hyundai Sonata Hybrid Limited,DARCARS Volvo Cars,12319 ,4.7,341 ,34280,Used
2016 Audi TT 2.0T,Beck's Auto Group,39905 ,4.0,91 ,34753,Used
2015 Lexus GX 460 Base,Ira Ford Auburn,63997 ,4.6,49 ,33486,Used
2016 Lexus LX 570 Base,Jim Ellis Hyundai,83897 ,4.8,"1,760 ",61980,Used
2020 FIAT 500X Trekking,Harper Maserati,10217 ,4.6,43 ,23990,Used
2019 Toyota 4Runner Limited,Off Lease Auto Mall,29937 ,5.0,2 ,48943,Used
2013 INFINITI G37 x,A & H Quality Cars,66739 ,4.2,47 ,14999,Used
2019 GMC Sierra 1500 Limited Base,Randy Wise Buick GMC,41780 ,4.8,798 ,33800,Used
2019 Jeep Cherokee Latitude Plus,"Martin Chrysler, Dodge, Jeep & Ram",18971 ,5.0,25 ,27995,Used
2020 Kia Sorento LX,Marysville Toyota,12092 ,4.9,466 ,29367,Used
2019 Lamborghini Urus Base,Perillo Downers Grove,14000 ,4.4,84 ,287984,Used
2018 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz of Fort Mitchell,47667 ,4.9,320 ,42780,Mercedes-Benz Certified
2016 Lexus LX 570 Base,ALM Gwinnett,57004 ,4.6,"1,063 ",69740,Used
2020 Volkswagen Atlas Cross Sport 3.6L V6 SEL R-Line,AutoNation Nissan Tempe,11300 ,4.5,503 ,44530,Used
2021 Nissan Rogue SL,Van Horn Nissan VW of Sheboygan,15099 ,4.7,79 ,37674,Nissan Certified
2020 Ford Expedition Max Limited,Capital Ford,17368 ,4.8,"1,648 ",70436,Used
2014 Toyota Camry XLE,Auto Group of Louisville,57278 ,5.0,5 ,18995,Used
2020 RAM 1500 Limited,Marketplace Ford,31469 ,4.9,377 ,61000,Used
2021 Dodge Charger R/T,Keene Dodge Chrysler Jeep,15063 ,4.4,164 ,46995,Used
2017 Mercedes-Benz GLS 450 Base 4MATIC,Shift San Francisco,37336 ,3.7,129 ,48450,Used
2018 Ford F-150 XLT,CarShop Chester Springs,33646 ,4.8,534 ,40000,Used
2017 Ford F-150 XLT,Uftring Nissan,68101 ,4.9,749 ,31990,Used
2016 Toyota 4Runner SR5 Premium,Greenway Mazda,52318 ,4.4,218 ,33990,Used
2016 Chevrolet Tahoe LT,Fred Martin Superstore,82658 ,4.6,"1,856 ",41000,Used
2018 BMW 330 i,Ambar Motors,42276 ,3.6,65 ,28947,Used
2019 Toyota Corolla Hatchback SE,World Toyota,20546 ,4.5,"1,124 ",22995,Toyota Certified
2013 Lexus ES 300h Base,Silveira Chevrolet,83940 ,5.0,1 ,19988,Used
2020 BMW M340 i xDrive,Mercedes-Benz of Greenwich,44100 ,4.1,78 ,49488,Used
2019 Volkswagen Golf R 2.0T w/DCC & Navigation,Volkswagen of Downtown Chicago,16244 ,4.6,"1,529 ",43500,Volkswagen Certified
2018 Mercedes-Benz AMG E 63 S 4MATIC,Mercedes-Benz of Pompano,14128 ,4.5,591 ,105889,Used
2015 Honda Pilot EX-L w/ Navigation,EchoPark Automotive Tampa,52461 ,4.8,132 ,24999,Used
2013 Mercedes-Benz E-Class E 350 4MATIC,Eden Autos,75214 ,4.4,61 ,19900,Used
2019 Audi Q8 3.0T Premium,Audi Henderson,22091 ,4.7,150 ,65988,Used
2021 Audi RS Q8 4.0T quattro,Kearns Motor Car Co.,17052 ,4.7,962 ,145989,Used
2019 BMW X7 xDrive50i,Jaguar Land Rover West Houston,29291 ,4.2,61 ,79993,Used
2021 BMW M550 i xDrive,eCarOne,11662 ,4.8,"1,724 ",83650,Used
2016 Land Rover Range Rover Sport Supercharged SE,Brentwood Auto Brokers,39703 ,4.5,81 ,39997,Used
2020 Ford Expedition XLT,Lake Ford,17012 ,4.7,"3,764 ",60398,Used
2017 Lincoln Navigator Select,Bob Rohrman's Schaumburg Lincoln,86450 ,4.4,544 ,37990,Used
2019 Land Rover Range Rover Sport HSE MHEV,Shift Los Angeles,17583 ,4.0,84 ,76950,Used
2018 Chevrolet Malibu LT,Janesville Subaru,10225 ,4.3,158 ,24200,Used
2020 Lincoln Navigator Black Label,Mark Ficken Ford Lincoln,15094 ,4.8,"1,943 ",94301,Used
2020 Acura MDX 3.5L w/Technology Package,Sterling McCall Acura,34059 ,4.6,636 ,42627,Used
2019 Ford F-150 XLT,Brandon Ford,12660 ,4.7,"1,871 ",41795,Ford Certified
2017 Subaru Crosstrek 2.0i Premium,Serra Auto Park,69934 ,4.7,129 ,19977,Used
2020 Ford Edge Titanium,EchoPark Automotive Plano,39904 ,4.9,256 ,29899,Used
2020 BMW X5 xDrive40i,Circle BMW,23686 ,4.9,"2,491 ",62988,Used
2019 Honda Pilot EX-L,AutoSavvy Draper,20961 ,4.5,102 ,27000,Used
2019 BMW X5 xDrive40i,BMW North Scottsdale,22409 ,4.5,445 ,61218,BMW Certified
2018 Mazda CX-9 Sport,Elite Acura,15690 ,4.7,679 ,27500,Used
2014 Mercedes-Benz E-Class E 350,HGreg.com Doral,71828 ,4.4,"2,197 ",20497,Used
2017 Mercedes-Benz C-Class C 300,North State Auto,57389 ,3.9,10 ,34500,Used
2015 Jaguar F-TYPE R,Vantage Auto Wholesale,19428 ,4.3,35 ,54990,Used
2016 BMW M3 Base,Sublime Motors,30223 ,4.6,9 ,49800,Used
2015 Mercedes-Benz S-Class S 550 4MATIC,21 Century Auto Group,52873 ,4.4,"2,737 ",37821,Used
2016 BMW 535 i xDrive,Great Neck Motorsports,44670 ,4.3,143 ,23990,Used
2018 Lexus GS 350 F Sport,AutoNation Acura South Bay,32387 ,4.8,682 ,39995,Used
2019 Lexus GX 460 Base,"Nalley Lexus, Roswell",48071 ,4.6,595 ,53758,Used
